ID,Order,Emotion,PrePost,Trial,ITI
004,NNP,Positive,Post,43,139
004,NNP,Positive,Post,44,106
004,NNP,Positive,Post,45,99
004,NNP,Neutral,Pre,1,809
004,NNP,Neutral,Pre,2,102
004,NNP,Neutral,Pre,3,416
004,NNP,Neutral,Pre,4,117
004,NNP,Neutral,Pre,5,405
004,NNP,Neutral,Pre,6,51
004,NNP,Neutral,Pre,7,406
004,NNP,Neutral,Pre,8,93
004,NNP,Neutral,Pre,9,414
004,NNP,Neutral,Pre,10,91
004,NNP,Neutral,Pre,11,413
004,NNP,Neutral,Pre,12,49
004,NNP,Neutral,Pre,13,397
004,NNP,Neutral,Pre,14,90
004,NNP,Neutral,Pre,15,429
004,NNP,Neutral,Pre,16,56
004,NNP,Neutral,Pre,17,475
004,NNP,Neutral,Pre,18,37
004,NNP,Neutral,Pre,19,441
004,NNP,Neutral,Pre,20,53
004,NNP,Neutral,Pre,21,392
004,NNP,Neutral,Pre,22,55
004,NNP,Neutral,Pre,23,409
004,NNP,Neutral,Pre,24,70
004,NNP,Neutral,Pre,25,433
004,NNP,Neutral,Pre,26,46
004,NNP,Neutral,Pre,27,465
004,NNP,Neutral,Pre,28,59
004,NNP,Neutral,Pre,29,407
004,NNP,Neutral,Pre,30,60
004,NNP,Neutral,Pre,31,415
004,NNP,Neutral,Pre,32,21
004,NNP,Neutral,Pre,33,448
004,NNP,Neutral,Pre,34,69
004,NNP,Neutral,Pre,35,414
004,NNP,Neutral,Pre,36,19
004,NNP,Neutral,Pre,37,432
004,NNP,Neutral,Pre,38,52
004,NNP,Neutral,Pre,39,439
004,NNP,Neutral,Pre,40,43
004,NNP,Neutral,Pre,41,463
004,NNP,Neutral,Pre,42,25
004,NNP,Neutral,Pre,43,511
004,NNP,Neutral,Pre,44,55
004,NNP,Neutral,Pre,45,442
004,NNP,Neutral,Post,1,1483
004,NNP,Neutral,Post,2,221
004,NNP,Neutral,Post,3,266
004,NNP,Neutral,Post,4,284
004,NNP,Neutral,Post,5,270
004,NNP,Neutral,Post,6,282
004,NNP,Neutral,Post,7,242
004,NNP,Neutral,Post,8,287
004,NNP,Neutral,Post,9,305
004,NNP,Neutral,Post,10,258
004,NNP,Neutral,Post,11,276
004,NNP,Neutral,Post,12,304
004,NNP,Neutral,Post,13,257
004,NNP,Neutral,Post,14,244
004,NNP,Neutral,Post,15,224
004,NNP,Neutral,Post,16,284
004,NNP,Neutral,Post,17,222
004,NNP,Neutral,Post,18,243
004,NNP,Neutral,Post,19,238
004,NNP,Neutral,Post,20,235
004,NNP,Neutral,Post,21,248
004,NNP,Neutral,Post,22,243
004,NNP,Neutral,Post,23,230
004,NNP,Neutral,Post,24,235
004,NNP,Neutral,Post,25,222
004,NNP,Neutral,Post,26,219
004,NNP,Neutral,Post,27,231
004,NNP,Neutral,Post,28,220
004,NNP,Neutral,Post,29,233
004,NNP,Neutral,Post,30,229
004,NNP,Neutral,Post,31,216
004,NNP,Neutral,Post,32,254
004,NNP,Neutral,Post,33,267
004,NNP,Neutral,Post,34,206
004,NNP,Neutral,Post,35,265
004,NNP,Neutral,Post,36,221
004,NNP,Neutral,Post,37,218
004,NNP,Neutral,Post,38,206
004,NNP,Neutral,Post,39,251
004,NNP,Neutral,Post,40,207
004,NNP,Neutral,Post,41,244
